texto,label
"O tapete que recebi não condiz com o anunciado, baixa qualidade.",negativo
Ele é um pouco  duro e a espuma  e bem  fininha e a custura  está soltando  na parte de baixo,negativo
"ja tive um, comprei esse agora, passei o perfume com 2 horas o cheiro ja tinha saído, ate os da hinode dura o cheiro mais.",negativo
recebi o produto quero meu dinheiro de volta. por gentileza entre em contato cmg pata regularizarmos isso o mais urgente possível,negativo
Não recebi até o momento e não sei se vou recebê-lo!,negativo
"Chegou faz uma semana,muito bom mesmo.Adoramos bem do jeito q queríamos.",positivo
Produto Pirata.  Isso é o que dá vender para essas empresas o nome das americanas.... quero ver vocês publicarem isto para os outros clientes.,negativo
"Fiz o meu pedido dia 05/02/18,  contendo três itens, porém a bola de basquete não me foi entregue. No site do correio não está atualizado, portanto não consigo saber nem onde anda esse produto e hoje é dia 06/03/18.",negativo
"Não comprem, é uma porcaria. Eu comprei, chegou uma bem parecida mas não era está daí, toda amassada riscada com os lacres rompidos, rasgados, vencimento do mês 9/2017 sendo que comprei 02/2018. Adiaram o prazo de entrega duas vezes.O cheiro de fonte queimada é imenso. Americanas enviou-me a minha pela empresa remetente MR MV INFORMÁTICA LTDA ME. Para os otimistas apenas digo ""ela ligou"" boa sorte.",negativo
"Aspirador excelente. O fato de ter um cabo como de uma vassoura ajuda muito a não dar dor nas costas, além de ser muito potente. Poder usar como aspirador de mão também é incrível.",positivo
"Celular muito bom, câmera e resolução muito boa. Recoemndo.....",positivo
"O Celular é muito bom, a relação custo benefício é indiscutivelmente Ótima. Vale muito a pena.",neutro
Parabéns ao vendedor pela resto habilidade e atenção dada ao cliente Sem contar bom a entrega que foi muito rapido,positivo
Filtro é pouco eficiente. Sujou muito durante a primeira filtragem. Praticamente tive que lavar três vezes. Tenho a impressão que saturou.,neutro
GOSTARIA DE SABER SE O PRODUTO É NACIONAL OU IMPORTADO?,neutro
muito bom produto super recomendo chegou no prazo em perfeito estado,positivo
"Fraco na memória Ram e Câmera de Foto, por enquanto é o que percebi. Achei a bateria boa, demora descarregar, vamos ver com o tempo.",negativo
"Facilitou muito a minha vida para tirar o leite, é fácil de usar e muito prático.",positivo
"Chegou antes do prazo, o produto é excelente, bateria dura o dia todo. Ótimo custo benefício.",positivo
"Estou extremamente insatisfeita, o produto de péssima qualidade. A caneta touch descrita como PRETA veio na cor azul. A película de vidro COBRE A CÂMERA FRONTAL. A capa já descolou inteira, sem falar que já está rasgando nas partes onde dobra. Decepcionada com as parcerias da loja americanas.",negativo
"É TOTALMENTE DIFERENTE DA FOTO, QUASE TODOS OS PRODUTOS DAS AMERICANAS SÃO ASSIM, NA FOTO É BEM BONITO MAS QUANDO CHEGA VC VÊ A DIFERENÇA, QUALIDADE BAIXA E BEM SIMPLES, DECEPCIONANTE",negativo
"É um pouco difícil de espremer , mas num todo é bom",neutro
"O produto é fraco e veio com uma parte quebrada, o mesmo foi montado e ele é torto.",negativo
"Mas neste pedido, nao recebi no endereco comercial no qual, sempre peco....aguardo retorno.",positivo
"Boa Noite. Comprei um celular na Americanas e ele foi entregue em 11/12/2017, desde a compra o celular sempre desligava e travava na tela Samsung e não reiniciava e isso aconteceu 3 vezes desde a compra e ele sempre esquentava muito e eu nessas três vezes com muita dificuldade consegui fazer ele funcionar a partir daí na quarta vez ele parou de carregar e quando carregava era com muita dificuldade e do nada ontem quando fui carregar ele esquentou muito e não ligou mais.. e meu celular não tem um mês de uso, e não aconteceu se quer alguma vez de ter caído tanto para provar não a sinais de quedas .. é revoltante que confiei três celulares com a Americanas e um escova alisadora é ela não me atenda neste caso.. aguardo o contato. Lembrando que ainda está na garantia.",negativo
"Achei q não compensa pegar uma arara dupla com uma distância tão pequena, acabei usando uma só!",negativo
"Produto bom, só que era presente de Natal e só chegou no ano Novo. Mas tudo bem!!",neutro
"O produto é bom, chegou antes do prazo determinado. Já está instalado e ficou ótimo.",neutro
"Comprei e ate hj nao chegou , porque os entregadores ficam la em baixo no prédio e nao sobem para me entrega no meu apartamento . Estou idiguinada.",negativo
Horrive quero meu dinheiro de volta. Não vem fone nem cabo.nem cabo USB não presta,negativo
Cumpre com o que está descrito nas configurações. Cumpre com o que está descrito nas configurações.,positivo
"ele faz ruído e não grava,já mandei 2 emails e não recebi nenhuma explicação,agora seguirei a denunciar e buscar meu reembolso",negativo
"A tecnologia associada a TV é interessante, indicaria a outros amigos...",neutro
"É um aparelho bom , apesar de não ser dos melhores , dá pra quebrar um galho !",neutro
"A ilustração demonstra pouco do produto que é muito leve e de espessura muito fina , mas custo beneficio preservado, bom produto",neutro
A TV e muito boa não tenho do que reclamar e o prazo de entrega foi ótimo tbm,positivo
"Gela a água direitinho A água fica gelada, suporta o peso do garrafão tranquilamente.",neutro
A qualidade é inferior mas pelo valor compensa adiquirir,neutro
"Fazia muito tempo que a minha bebê vinha me pedindo um boneco menino. Finalmente encontrei um com o preço acessível :) Muito bonitinho, é bem realista e o bom é que com o corpinho de pano a criança pode dormir abraçada!",positivo
Por favor envia-me outro produto dai enviarei de volta a tv com defeito (sem concerto ),negativo
"Bom ,comprei esse kit para as mulheres tomarem no carnaval achando que eram uns drinks prontos q iriam agrada-las mas infelizmente não tiveram aprovação. Apesar de não ser caro não compensa pelo o q oferece, pois não dá prazer nenhum em beber e foi o que aconteceu, elas não beberam e eu tive que beber as abertas sozinho na semana por causa da validade de 7dd. Tomei a de morango e jabuticaba, essa última achei bem doce.  Resumo, querem beber algo diferente essas bebidas não são uma boa opção.",negativo
Talv x deverão ser mais honesto com teus clientes pôs pafagos teu salário,negativo
"O rímel é otimo, aumenta cílios e dá volume. E chegou muito rápido. Chegou 5 dias após o pagamento. Amei!",positivo
Se seu cabelo é liso e pouco como o meu vale a pena pra modelar sim...mas se tem muito cabelo esqueça pq ela nao aguenta.,neutro
"Gostei muito do produto, superou minha expectativa. Recomendo e chegou bem ates do prazo.",neutro
O relógio é muito ruim.  Sugiro interromper a venda. O aparelho é bem fraco e não recomendo,negativo
"Pelo custo e benefício vale a pena o produto e compra aprovada loja correta entrega bem rápida com agilidade gostei do produto existem melhores, mas produto bom e barato, indico para todos.",neutro
"celular bom mas, deixa muito a desejar, som muito baixo tanto em video, audio e ate mesmo em ligações",negativo
"CARA, QUAL  A PREVISÃO DE RECEBIMENTO? EU NÃO RECEBI ENTÃO NÃO HÁ COMO AVALIAR ELE. O QUE EU FAÇO AGORA? ERA PRA TER CHEGADO NO MÊS PASSADO E ATÉ AGR NADA. E agr?",neutro
Bom produto  dentro das expectativas. A entrega foi rápida.,neutro
"O perfume entregue está bem aquém das minhas expectativas. Tanto a fixação, quanto a projeção são baixíssimas, o que coloca em dúvida, a originalidade do produto.",negativo
"Uma porcaria! A imagem é enganosa, veio um controle que no primeiro uso apresentou falhas de comando, com o analógico direito ringindo, o direcional super sencivel pois ao clicar 1 vez para o lado o controle movimenta como se tivesse clicado 3 ou 4 vezes. E para piorar o SAC das americanas é incomunicável. Estou esperando um retorno deles...",negativo
"Com dois dias de uso os botões pararam de funcionar, a água sai sem parar. Já mandei e-mail pedindo para trocar o produto mas ninguém me retornou... Indignada",negativo
É bom achei q afinou um pouco meu cabelo mas aos poucos estou vendo resultados positivos deixa um cheiro muito gostoso,neutro
"Bacana os detalhes do produto, só a tampa q não trava corretamente; mais no geral, produto bom.",neutro
"Ainda não recebi o produto para avaliar, quase dois meses para receber, infelizmente não vi o prazo para entrega.  Não recomendo.",negativo
Produto muito bom. Muito superior ao vê-lo nas mãos.  Cerâmica excelente. Acabamento impecável.  CHEGOU MUITO BEM EMBALADO.  Recomendo,positivo
"Não liga, fica somente na tela do Android! Não para de iniciar. Não consegui ligar na área de trabalho.",negativo
"IMAGEM MARAVILHOSA MAS DEICHA UM POUCO A DESEJAR NO MANUSEIO DA MESMA,(LENTA) E SO PODE SER INSTALADA EM UM SO CELULAR. DO RESTO E BOM INSTALAÇAO MUITO FACIL",negativo
"A etiquetadora é boa,mas falta um manual de instruções.Não consigo colocar o refil de etiquetas corretamente.",neutro
"Escova muito Boa, entrega da lojas americanas muito rápida antes do previsto",neutro
"excelente, chegou no prazo combinado bem embalado, a cada passo eu era informada onde estava o produto. amei o celular. super recomendo",positivo
"O material utilizado neste ""guarda sol"" é de baixíssima qualidade. Nem um mês resistiu e se rasga com facilidade. Não aguenta UV nem sol forte.",negativo
Gostei muito da compra que fiz. Recomendaria para as amigas!!!,positivo
"Comprei a câmera e ainda não consegui usar, pois não veio a bateria! Já entrei em contato por todos os canais e ninguém resolve esse simples problema. Fujam dessa câmera!",negativo
Não compro mais.  Pois não parece ser um perfume e sim uma colônia,negativo
"chegou no prazo mas sapatos maiores que numero 41 ficaram apertados no média, um bom produto",neutro
"Adorei, linda, charmosa! Gostei muito do produto! Excelente!",positivo
muito bom...muito bom...muito bom...muito bom...muito bom..muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...muito bom...,positivo
Na minha opinião oferece um bom café? Não é demorado como diziam e sai quentinho,neutro
E ALGUM TIPO DE BRINCADEIRA. ATRASAR A ENTREGA E ME PEDIR PRA AVALIAR ALGO Q NÃO RECEBI!,negativo
"Pelo preço valeu a pena funciona perfeitamente, só o controle remoto que não presta aperta uma tecla ativa outra !",neutro
Eu não recebi o produto ainda eles falaram que ia entregar no dia 23 não entregaram depois mudaram para o dia 29 e até hoje eu aguardo Eu Estou decepcionado e vou tomar minhas medidas cabíveis já foi descontado na minha fatura já chegou a nota fiscal e o produto nada eles falaram que foi desviado que ia gerar outro pedido e outra nota fiscal então eu vou tomar minhas providências,negativo
O produto não veio com as luvas e o cabo não tem a metragem descrita (muito curto).,neutro
Muito bom ! Deixa o cabelo maravilhoso . Entrega rápida. Satisfeita,positivo
"A inovação é boa, mas deveria ter mais qualidade. É justamente do adaptador que eu preciso.",negativo
"Produto chegou antes do prazo, tive um pouco de dificuldade de montá-lo, pelo fato de leitura do desenho, mas achei um vídeo explicativo no youtube, produto de ótima qualidade a cor veio um pouco diferente do anunciado mas até mais bonita, recomendo a todos,produto veio muito bem embalado sem detalhes, e sim os Leds funcionam, tem um botão de liga desliga de fácil instalação.",positivo
"O design dele é lindo, o fio dele é bem resistente e o manuseio dele é bem pratico. Amei meu mouse.",positivo
"O produto é bom , mas demorou quase um mês para entregar e nem entregou na minha casa deixou nos correios tive que pegar uma fila enorme para retirar o produto , muita demora e muita informação desencontrada , nn informa onde tá o produto e nem dava para rastrear !",neutro
"Produto bom, só no primeiro dia de uso soltou a parte de dentro do encaixe da cordinha que puxa p/ motor pegar. Mas uma pessoa arrumou p/ mim e não desencaixou mais. Usei 3 vezes em 15 dias e não apresentou problemas por enquanto.",neutro
"O produto é excelente, vale cada centavo, pode comprar sem medo.",positivo
"O produto na foto parece ser maior e o secador de cabelo não pega. Muito bonita a penteadeira, pena que é pequena",neutro
"Produto atendeu minha expectativa! Rápido, câmera muito boa e nem preciso falar da velocidade da entrega. Lojas americanas sempre surpreendendo.",positivo
Não tenho como avaliar o produto já que até hoje ele não chegou na minha casa. Gostaria de saber o que aconteceu.,negativo
Para quem não quer passar mais raiva com ter que ficar carregando a bateria quando mais precisa...eu recomendo este...,neutro
Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha Não tira o cheiro da cozinha,neutro
É bem grande cabe muita coisa exemplo blusa e sapato,neutro
Sem opiniões. Sem opiniões. Sem opiniões. Sem opiniões. Sem opiniões. Sem opiniões. Sem opiniões. Sem opiniões.,neutro
"otimo produto,entregue no prazo, em perfeito estado sem avarias",positivo
"Veio faltando duas ponteiras do pé da cedeira, e o barulho dela no chão por falta dessa peça está me incomodando, e 1 das cadeiras veio com os pé tortos.",negativo
Iluminação razoável. Por ser 100 W esperava iluminação mais eficiente.,neutro
Está em fase d teste por enquanto vai bem se não dá nenhum problema posso melhorar a nota,neutro
Produto excelente gostei muito e recomendo> Produto muito bom,positivo
"O twiter estava quebrado dentro da caixa, muito peça muito fraca.",neutro
"Obrigado. Estou satisfeito com a compra e com as Lojas Americanas, responsável e pontual. Recomendo.",neutro
Tem poucos dias que estou usando .parece bom.Facil manuseio  dos arquivos não eu nenhum conflito até o momento.recomendo,neutro
"Eu utilizava, antes, um cilindro daqueles bem antigos, que foi da minha avó. Funcionava bem, mas o formato da massa ficava por sua imaginação. Depois desmontava e limpava no tanque com água e detergente, secava e fim.  Apesar dessa máquina ser uma versão muito mais moderna, do que era aquela da minha avó, ela faz o serviço de uma forma mais fácil.  A regulagem é por ""botão"" (da minha avó era no ""olhomêtro""), tem ""faca"" de corte acoplável (da minha avó era na faca de cozinha mesmo), enfim, moderna.  Problemas que encontrei, os componentes parecem meio ""soltos"", não desmontaram ou nada do tipo, mas não passa aquela segurança de uma máquina italiana, por exemplo.  Difícil de limpar, mas muito difícil mesmo. Se por acaso você fizer uma massa mais úmida, ela vai grudar nos componentes e você irá ter uma dor de cabeça para limpar. Como todo o produto é feito de metal e tem componentes internos das engrenagens, fiquei com um pouco de receio de levar direto a torneira para lavar. Medo de enferrujar.  Mas, no fim, fez seu serviço.",neutro
"Produto excelente, recomendo entrega no tempo prometido.",positivo
"Excelente celular, é  muito bonito, carrega muito rápido!",positivo
"Gostei muito do produto, entrega ultra rápida... satisfeitíssimo!!!",neutro
"A entrega foi realizado antes do prazo. O carrinha também,",neutro
Gostei  muito bom esquentasuper bem so não gostei muito pq não é original,neutro
"Não ativa a função ‘descer e subir ‘, não sei se veio com defeito mas não estou satisfeita..",negativo
"O pedido mais tempo do que o previsto para chegar no endereço da entrega do mesmo. Por conseguinte, não esperei por este atraso.",neutro
Para o preço é um bom produto  Mas a imagem deixa a desejar mesmo com canais hd da sky O som oscila muito,neutro
Caneta Autoclavável para Bisturi Eletrônico. Bom produto!,neutro
"Atende as minhas necessidades, dentro daquilo que posso pagar...",neutro
"Adorei meu aspirador portátil! Produto de qualidade,muito pratico super indico ! Meu pedido chegou no dia prometido, americanas estão de parabéns!",positivo
O batom reproduz nos lábios a cor autêntica e dura várias horas sem retoque.,positivo
"Ele não é mordedor!! Ele é um plástico bem duro, serve apenas como um móbile, pra enfeitar ou pra criança brincar.  Não serve de jeito nenhum para morder.",neutro
Microfone nao funciona Microfone nao funciona Microfone nao funciona,negativo
Produto com mais de um mês de atraso. Ainda não recebi. Total falta de responsabilidade da Americanas.,negativo
"Uma loja desse porte vendendo produtos usados com defeitos pqp ;vai para a justiça .O produto apresentou defeito no botão de ligar ,a caixa do produto está com várias avarias (produto usado) ,nem manuais do console avia .Achei uma tremenda sacanagem ,esperava um produto novo na caixa completo ......espero que entrem em contato comigo e devolvam meu dinheiro",negativo
"Meu cabelo é levemente ondulado e com o produto meu cabelo ficou liso extremo  e com muito brilho, amei!!! Pra quem tinge o cabelo, recomendo pintar depois de passar o produto pq desbota o cabelo.. Recomendo..",positivo
É um produto bom porem demorou de mais pra chegar na minha residencia.,neutro
Muito bom comprar nas americanas otimos produtos e entrega rápida,positivo
"Não chegou no prazo, é qdo reprogramou chegou dentro o esperado",neutro
Essas bandejas mágicas possuem o poder de gerar um hambúrguer em cada uma a cada 20 minutos. Hoje abri minha própria hamburgueria e sou muito grata a esse investimento. Recomendo a todos que desejam empreender.,positivo
Gostei muito desse mouse   Muito bom esse mouse eu gostei,positivo
"Ótimo aparelho, muito bonito, bom acabamento, ótimo desempenho de processamento e bateria, bom ideal, tanto para utilização quanto para assisitr vídeos e filmes. Câmera mais que excelente em fotos com luz adequada, um pouco complicada para fotos com pouca luz, saindo fotos tremidas com certa frequência. Meu último aparelho tinha sido um A7 (2016) e é nítida a evolução que a série A obteve na versão 2017. Com certeza recomendo o produto, estou bastante satisfeito.",positivo
"Eu esperava mais da qualidade do material. Acabamento mal feito, furacões erradas.... Estou um pouco frustrada!!!!",negativo
Só depois de algumas semanas poderei realmente avaliar o produto.,neutro
não carrega péssimo o produto não realiza o serviço não  gostei.,negativo
"Produto atendeu às espectativas e o serviço de venda e entrega foi realizado com muita presteza e atenção, dentro do prazo e com qualidade.",positivo
"O produto é lindo, a entrega foi super rápida, porém para bater bolo, por exemplo, achei um pouco fraco, esperava que fosse um pouco mais potente, mas no geral é bom.",neutro
"As lojas americanas não dispõem de um canal de atendimento em que se possa falar diretamente com um (a) atendente. Eu nem recebi ainda o produto. Na verdade solicitei o cancelamento. O status permanece ""cancelamento solicitado"" desde 19/12/2017, sem alteração, o que é um absurdo. E aí? O que concluir daqui? Que o cliente não recebe um tratamento adequado.",negativo
"O produto é muito bom, porém deu defeito em 20 dias de uso",negativo
"O produto veio amassado, e não era novo, A loja Americana fez o reembolso de imediato.",negativo
"Apesar de ser lenta ao carregar apps como netflix ou youtube, como também a troca de canais, esta TV é muito boa e entrega o que promete. A entrega do produto foi antes do prazo informado. Recomendo!",neutro
Comprei uma há alguns anos e adoro tanto que dei uma de aniversário para minha mãe. Tenho cabelo muito comprido e mesmo assim uso ela com frequência. Sem contar que dá tanto para alisar os cabelos quanto  para fazer cachos. E é muito prática para levar na bolsa e para viajar.,positivo
"Entrega rápida, produto muito bom. Fiquei muito feliz com essa aquisição.",positivo
"Usei uma única vez... Bom produto, leve mas faz muito barulho.",neutro
"Fiquei muito decepcionada. Realmente me surpreendeu a diferença de valor comparado a outros sites, o barata sai caro! Mas de 300 por um perfume que não dura 30 minutos na pela.",negativo
"A  TV  É EXCELENTE, MAS  O SOM  PE FRAQUINHO A  IMAGEM  È   MUITO  BOA O RECURSO  4K  . NAO  COSEGUIR  ATIVAR  OU PERCEBER",negativo
"Muito bonita, prática e barata. Faz um cafezinho delicioso, muito rápido e sem mistério nenhum. Simplesmente adorei. ❤",positivo
"Comprei 2 deste Ar, chegou antes do prazo, foi instalado e tudo ok. Gostei muito, quase não faz barulho e gela bem rapido. Quanto ao consumo de energia ainda nao tenho base.",positivo
Não sei pra quem reclamar... Paguei caro por um produto que não funciona.,negativo
"recebi um relógio não original, com a pintura descascando, UM HORROR",negativo
Produto de excelente qualidade!!! Atendeu todas minhas necessidades aqui na minha bancada!!!,positivo
Não tem como avaliar um produto que não recebi!!!!,neutro
"Comprei o Xbox onde preto, com headset. E que tem a entrada para Kinect. Veio o branco . Sem headset, sem entrada pra Kinect, tenho que comprar o adaptador. E adaptador de tomada. Gostei do produto. Mas o vendedor deveria se comunicar, referente a troca. E a propagando.",negativo
produto muito bom principalmente pela qualidade e valor paga. ....além de uma remessa muito eficiente.,positivo
"Produto bom! Porém Achei a trava muito embaixo e o balde pequeno, tirando esses pontos negativos, o restante funciona muito bem.",neutro
Enorme maravilhoso mas acho que a câmera frontal poderia ser melhor !,positivo
O produto veio com defeito e a paizão store não esta querendo me devolver o dinheiro. muito chateado.,negativo
"OK, o produto excelente e a entrega dentro do combinado.10 Tudo certo.Recomendo.",positivo
"Motorzão bom. Bonito, vermelho, grandão, esse número 572 talhado do lado ficou bem interessante, biteludo, de ferro fundido, pesado, tem uns buraquinhos e umas roldanas. Detalhe para o negocinho azul em baixo, dando um toque de contraste ao conjunto. Muito bom... Bom trabalho... bom trabalho...",positivo
Gostei do produto. pelo menos nesse tempo que estou usando só tenho elogios. Comprei na loja parceira Mamão com Açúcar. Chegou 12 dias antes do previsto.,neutro
"Função Smart rápida sem travamentos,eficaz,imagem de alta qualidade,assim como o som, devido ao valor da mesma,é uma tv com ótimo custo benefício, recomendo.",positivo
"Esta torneira é muito bem acabada, tem um design lindo e seu tamanho diferenciado se encaixa perfeitamente à minha cozinha, deixando-a ultra charmosa! Foi rapidamente despachada, chegando antes do esperado e foi muito bem embalada. É fácil de instalar, podendo ser usada com um aquecedor elétrico (como no meu caso). Embeleza, facilita, me dá até mais ânimo para cozinhar. Fora que a empresa Tubrax tem um atendimento impecável. Tive dúvidas e fui atendida rapidamente por um técnico que me explicou tudo certinho, com muita paciência e atenção. Quer um produto bom e barato? Então pode comprar esta torneira que você não vai se arrepender!!! Eu amo a minha!!!",positivo
"O produto ate assusta por tantas funções, porem é lento. Inclusive o meu 4 G nem funciona com ele. Decepcionada!",neutro
"Ela é linda porém não pega totalmente no fundo do bou fica uns 2 dedo mais ou menos de distância, e quando vc liga ela parece q um avião vai decolar da minha cozinha de tão alto que é o barulho dela.",negativo
"o preço está correto?? R$ 10.000,00 ou 10x de R$ 1.000,00.",negativo
Ainda não chegou o produto  Como é pedido para avaliar se não chegou?,negativo
Sapateira simples Mas de boa qualidade Recomendo pelo custo benefício,neutro
"Produto é simplesmente a versão pós-moderna do Santo Graal, quando Jesus Cristo voltar usará esse copo na Santa Ceia.  Valor Irrisório",positivo
Recomendo a tds aqueles q precisam.qdo precisar peça por ele.,positivo
"Estou satisfeito com o preço, rapidez na entrega e produto em perfeitas condições de uso.",positivo
"Produto chegou quando eu não estava em cada, ou seja não veio no prazo! MEU FILHO FICOU SEM O PRESENTE DE NATAL! NUNCA MAIS COMPRO PELA LOJA!",negativo
"Mais rápido, impossível!  Daí ter escolhido a Americanas.",positivo
"Facilidade de compra e entrega rápida , gostei muito. Com certeza eu recomendaria a Empresa aos amigos.",positivo
Como vou avaliar meu produto se ele nem chegou ainda .,negativo
Superou as expectativas. Faz o que promete e muito mais. A roupa sai quase seca.,positivo
"recebi o sofa com um rasgo e eles nao vieram ate hoje para trocar, nunca mais compro na americanas. com",negativo
"Esperava maior luminosidade pela ""Wattagem"" anunciada.",neutro
